timestamp,open,high,low,close,volume
2022-01-01T00:00:00Z,46197.5,46928,46197,46783.5,9955.966
2022-01-01T04:00:00Z,46783.5,47546,46602.5,47194,15783.312
2022-01-01T08:00:00Z,47194,47327,46698.5,46746,16142.54
2022-01-01T12:00:00Z,46746,47468,46744.5,47204.5,17255.726
2022-01-01T16:00:00Z,47204.5,47949,47173,47338,16332.161
2022-01-01T20:00:00Z,47338,47822,47219.5,47736,13593.399
2022-01-02T00:00:00Z,47736,47762,47261,47323,16048.547
2022-01-02T04:00:00Z,47323,47409.5,46765.5,47163.5,15070.254
2022-01-02T08:00:00Z,47163.5,47489.5,46964,47220.5,15746.153
2022-01-02T12:00:00Z,47220.5,47448,47000,47323.5,19161.044
2022-01-02T16:00:00Z,47323.5,47988,46638.5,46902.5,26915.623
2022-01-02T20:00:00Z,46902.5,47466.5,46816.5,47282.5,13079.594
2022-01-03T00:00:00Z,47282.5,47282.5,46722,46796,16623.56
2022-01-03T04:00:00Z,46796,47200,46752,47039.5,15259.125
2022-01-03T08:00:00Z,47039.5,47418.5,46767.5,47353,16555.247
2022-01-03T12:00:00Z,47353,47556,46587,46679.5,22770.886
2022-01-03T16:00:00Z,46679.5,46780,46256.5,46360,15992.526
2022-01-03T20:00:00Z,46360,46559.5,45678.5,46433,16713.574
2022-01-04T00:00:00Z,46433,46528.5,45943,46308.5,14152.746
2022-01-04T04:00:00Z,46308.5,46547.5,46015,46520.5,15822.056
2022-01-04T08:00:00Z,46520.5,46738.5,46275,46704.5,15828.417
2022-01-04T12:00:00Z,46704.5,47534,46394.5,46941.5,27972.913
2022-01-04T16:00:00Z,46941.5,46972.5,45506.5,46040,26267.484
2022-01-04T20:00:00Z,46040,46415,45746,45823.5,13242.933
2022-01-05T00:00:00Z,45823.5,46539,45712,46400.5,18615.406
2022-01-05T04:00:00Z,46400.5,46514,46232.5,46390,14372.377
2022-01-05T08:00:00Z,46390,47065,46108.5,46262,24522.59
2022-01-05T12:00:00Z,46262,46831.5,45904,46604,33790.972
2022-01-05T16:00:00Z,46601.5,46658.5,44330,44661,35703.368
2022-01-05T20:00:00Z,44661,44808,42436,43413,47497.707
2022-01-06T00:00:00Z,43397,43759.5,42811,42822.5,25773.625
2022-01-06T04:00:00Z,42822.5,43241.5,42569.5,43215,23360.777
2022-01-06T08:00:00Z,43215,43236.5,42405.5,42858.5,23923.739
2022-01-06T12:00:00Z,42858.5,43220.5,42625,42931.5,24886.568
2022-01-06T16:00:00Z,42931.5,43485.5,42740,43413.5,18730.992
2022-01-06T20:00:00Z,43413.5,43555,42994,43075.5,16744.38
2022-01-07T00:00:00Z,43075.5,43133.5,41538.5,41781,34114.51
2022-01-07T04:00:00Z,41781,41919.5,40958.5,41684,32614.285
2022-01-07T08:00:00Z,41684,42881.5,41599.5,42237.5,23529.912
2022-01-07T12:00:00Z,42237.5,42749.5,40578,41300,36015.192
2022-01-07T16:00:00Z,41305.5,42303.5,40913,41755.5,23401.008
2022-01-07T20:00:00Z,41755.5,42045,41327,41546,12673.695
2022-01-08T00:00:00Z,41546,42237,41546,41788.5,14699.06
2022-01-08T04:00:00Z,41788.5,41982.5,41712,41896.5,12524.549
2022-01-08T08:00:00Z,41896.5,42205.5,41748,41929,15767.053
2022-01-08T12:00:00Z,41929,42040,41420,41599,19964.812
2022-01-08T16:00:00Z,41599,41722,40507.5,40832.5,35257.97
2022-01-08T20:00:00Z,40832.5,42307.5,40719,41676,20714.374
2022-01-09T00:00:00Z,41676,42159,41380,41823,17513.792
2022-01-09T04:00:00Z,41823,42080,41668,41776.5,12553.586
2022-01-09T08:00:00Z,41776.5,41978.5,41400,41860.5,19580.208
2022-01-09T12:00:00Z,41860.5,41916.5,41185,41614,24836.452
2022-01-09T16:00:00Z,41614,42726,41547,42665,23933.236
2022-01-09T20:00:00Z,42665,42759,41763.5,41848,20060.478
2022-01-10T00:00:00Z,41848,42020,41588,41983.5,14760.661
2022-01-10T04:00:00Z,41983.5,42247,41838,42054,17425.23
2022-01-10T08:00:00Z,42054,42120,41444,41555,19252.6
2022-01-10T12:00:00Z,41555,41600,39611,40959.5,52206.784
2022-01-10T16:00:00Z,40959.5,42117.5,40556.5,41278,35985.386
2022-01-10T20:00:00Z,41278,41975.5,41146,41797.5,14439.077
2022-01-11T00:00:00Z,41797.5,42398.5,41528,42272,17702.716
2022-01-11T04:00:00Z,42272,42360,41982.5,42207,15170.215
2022-01-11T08:00:00Z,42207,42650,41600,41831,25815.482
2022-01-11T12:00:00Z,41835,42205.5,41268.5,41727,26716.68
2022-01-11T16:00:00Z,41727,43094.5,41676,42971.5,29848.69
2022-01-11T20:00:00Z,42971.5,43096,42608.5,42722,12186.744
2022-01-12T00:00:00Z,42722,42965,42443,42610,13976.47
2022-01-12T04:00:00Z,42610,42875,42445.5,42549,17234.242
2022-01-12T08:00:00Z,42549,43454,42502.5,42927,27750.076
2022-01-12T12:00:00Z,42927,44069,42867,43554,35474.619
2022-01-12T16:00:00Z,43554,43889,43321.5,43740,15973.196
2022-01-12T20:00:00Z,43740,44347.5,43630.5,43903.5,13594.135
2022-01-13T00:00:00Z,43904.5,44047,43412,43500,15813.225
2022-01-13T04:00:00Z,43500,43800,43482.5,43693,15793.831
2022-01-13T08:00:00Z,43693,44024,43473.5,43592,27258.465
2022-01-13T12:00:00Z,43592,44401,42861,43177.5,40046.791
2022-01-13T16:00:00Z,43177.5,43450,42515.5,42687,25096.332
2022-01-13T20:00:00Z,42687,42868.5,42305.5,42554.5,18226.597
2022-01-14T00:00:00Z,42554.5,42756,42348.5,42618,21010.684
2022-01-14T04:00:00Z,42618,42956,42575.5,42627.5,19663.709
2022-01-14T08:00:00Z,42627.5,42675,41815,41989.5,32461.746
2022-01-14T12:00:00Z,41989.5,43343,41737,43106,43067.751
2022-01-14T16:00:00Z,43106,43412.5,42780,43097,19258.873
2022-01-14T20:00:00Z,43097,43462,43008,43068,15377.927
2022-01-15T00:00:00Z,43068,43176.5,42877.5,42924,17696.599
2022-01-15T04:00:00Z,42924,43087.5,42710.5,43075,20563.865
2022-01-15T08:00:00Z,43075,43286,42872.5,43013,18620.57
2022-01-15T12:00:00Z,43013,43400,42537.5,43393,31075.318
2022-01-15T16:00:00Z,43393,43564,43232,43521,18370.391
2022-01-15T20:00:00Z,43521,43822.5,43080.5,43087,18590.95
2022-01-16T00:00:00Z,43087,43143.5,42821.5,42966.5,20299.107
2022-01-16T04:00:00Z,42966.5,43255,42853.5,43200.5,16624.917
2022-01-16T08:00:00Z,43200.5,43301,42744.5,42954,18661.792
2022-01-16T12:00:00Z,42954,43437,42576.5,43207,31817.275
2022-01-16T16:00:00Z,43207,43470.5,42782.5,42815,15319.266
2022-01-16T20:00:00Z,42815,43256,42733,43053,13854.367
2022-01-17T00:00:00Z,43052.5,43155,42616.5,42632.5,18448.037
2022-01-17T04:00:00Z,42632.5,42951,42317,42643.5,24170.426
2022-01-17T08:00:00Z,42643.5,42893.5,42559.5,42654,17493.716
2022-01-17T12:00:00Z,42654,42768.5,42355,42461.5,21845.804
2022-01-17T16:00:00Z,42461.5,42518,41827,42214.5,22127.68
2022-01-17T20:00:00Z,42214.5,42375.5,41529.5,42181.5,18667.948
