timestamp,open,high,low,close,volume
2023-12-17T16:00:00Z,72.7210,75.1490,72.2800,73.5880,4807577
2023-12-17T20:00:00Z,73.5890,74.2380,70.5510,70.9020,3530826
2023-12-18T00:00:00Z,70.9020,71.9860,68.6000,69.9310,5194561
2023-12-18T04:00:00Z,69.9290,70.2180,68.6900,68.9570,3158443
2023-12-18T08:00:00Z,68.9520,69.9770,66.8510,69.0210,7063820
2023-12-18T12:00:00Z,69.0210,71.8570,68.2470,70.7600,6126155
2023-12-18T16:00:00Z,70.7600,72.7040,70.4270,72.3240,3611112
2023-12-18T20:00:00Z,72.3210,75.5150,71.6430,74.4290,5242103
2023-12-19T00:00:00Z,74.4280,76.0740,73.8320,75.2870,4045258
2023-12-19T04:00:00Z,75.2870,76.3840,75.0160,75.7280,3347105
2023-12-19T08:00:00Z,75.7280,76.1210,74.5170,74.6760,3426705
2023-12-19T12:00:00Z,74.6760,75.1890,72.8500,73.7270,4900850
2023-12-19T16:00:00Z,73.7270,74.4220,71.8000,74.2720,4726874
2023-12-19T20:00:00Z,74.2760,75.5000,72.3030,73.0400,4191635
2023-12-20T00:00:00Z,73.0300,75.2390,72.9820,74.9800,4416080
2023-12-20T04:00:00Z,74.9800,76.2830,74.3470,76.1200,4243158
2023-12-20T08:00:00Z,76.1200,78.7250,75.5320,77.1200,6587234
2023-12-20T12:00:00Z,77.1210,81.3880,76.3890,80.7560,8729862
2023-12-20T16:00:00Z,80.7560,84.1900,79.1320,81.1600,10656128
2023-12-20T20:00:00Z,81.1600,82.4980,79.3000,82.2430,7458900
2023-12-21T00:00:00Z,82.2430,84.8300,81.0500,83.4240,6634987
2023-12-21T04:00:00Z,83.4170,87.2000,83.0600,86.8350,5890784
2023-12-21T08:00:00Z,86.8290,88.4810,85.1830,87.0910,6556774
2023-12-21T12:00:00Z,87.0900,88.8900,85.6150,87.5600,7654905
2023-12-21T16:00:00Z,87.5610,95.8170,87.5340,92.9640,14324975
2023-12-21T20:00:00Z,92.9640,95.6230,91.3160,93.9270,5715341
2023-12-22T00:00:00Z,93.9290,99.7330,93.1340,97.8070,11381910
2023-12-22T04:00:00Z,97.8080,99.5000,92.4000,93.9290,9814570
2023-12-22T08:00:00Z,93.9290,95.3080,90.5120,93.8330,8449893
2023-12-22T12:00:00Z,93.8330,96.8480,92.0640,96.3350,6847819
2023-12-22T16:00:00Z,96.3350,97.7780,93.4300,96.9310,6942074
2023-12-22T20:00:00Z,96.9350,98.5000,95.8160,97.9620,3813722
2023-12-23T00:00:00Z,97.9620,98.3000,93.3710,93.7920,5698035
2023-12-23T04:00:00Z,93.7930,96.6000,92.8800,95.4480,3503556
2023-12-23T08:00:00Z,95.4480,96.4990,94.7500,95.9580,2877099
2023-12-23T12:00:00Z,95.9570,97.6450,95.3010,96.8300,3813093
2023-12-23T16:00:00Z,96.8310,103.8600,96.1530,102.9770,10844345
2023-12-23T20:00:00Z,102.9780,110.3880,101.5810,107.9650,10997482
2023-12-24T00:00:00Z,107.9660,118.7000,107.3500,116.3330,12940120
2023-12-24T04:00:00Z,116.3280,118.3600,110.3300,114.5650,10272954
2023-12-24T08:00:00Z,114.5650,114.8570,107.7000,110.4530,8976861
2023-12-24T12:00:00Z,110.4530,114.5000,109.1360,113.6250,6880950
2023-12-24T16:00:00Z,113.6330,117.0000,112.1490,115.2330,8058337
2023-12-24T20:00:00Z,115.2300,115.5920,109.5580,112.5710,8025691
2023-12-25T00:00:00Z,112.5720,113.2000,108.0000,112.1020,5801662
2023-12-25T04:00:00Z,112.1110,114.5790,111.6290,113.0290,3957085
2023-12-25T08:00:00Z,113.0280,113.7680,109.6250,111.8720,4573974
2023-12-25T12:00:00Z,111.8570,124.3780,110.4060,123.1760,14361014
