timestamp,open,high,low,close,volume
2025-11-12T12:00:00Z,104979.90,105297.00,101900.00,102124.90,41940.216
2025-11-12T16:00:00Z,102124.90,102249.20,100711.00,101245.40,37825.035
2025-11-12T20:00:00Z,101245.30,101964.50,101087.80,101605.80,11761.042
2025-11-13T00:00:00Z,101605.80,102581.70,100850.00,102088.10,22639.572
2025-11-13T04:00:00Z,102088.00,104024.60,101602.20,103430.90,34325.354
2025-11-13T08:00:00Z,103430.90,103765.40,102509.10,102900.00,18566.647
2025-11-13T12:00:00Z,102900.10,103456.00,101135.00,101338.00,45078.899
2025-11-13T16:00:00Z,101338.00,101495.70,98100.00,98643.10,75018.436
2025-11-13T20:00:00Z,98643.10,100485.80,97959.00,99654.30,40417.891
2025-11-14T00:00:00Z,99654.30,99862.80,98657.00,99103.30,28715.780
2025-11-14T04:00:00Z,99103.30,99152.00,95840.90,97099.90,71313.808
2025-11-14T08:00:00Z,97099.90,97520.00,95597.90,96134.60,31110.834
2025-11-14T12:00:00Z,96134.50,97280.00,94500.00,96752.60,82600.541
2025-11-14T16:00:00Z,96752.70,97377.60,94741.20,95737.30,42316.610
2025-11-14T20:00:00Z,95737.40,95900.00,93955.00,94544.90,31015.210
2025-11-15T00:00:00Z,94544.90,96800.00,94523.90,96388.50,27406.464
2025-11-15T04:00:00Z,96388.50,96543.80,95900.10,96289.40,13884.426
2025-11-15T08:00:00Z,96289.30,96310.40,95587.30,95657.30,12856.230
2025-11-15T12:00:00Z,95657.30,96439.60,95534.10,96222.10,13204.020
2025-11-15T16:00:00Z,96222.10,96362.50,95677.70,95967.70,11960.891
2025-11-15T20:00:00Z,95967.70,95979.10,95072.10,95560.30,10908.288
2025-11-16T00:00:00Z,95560.40,95946.40,94800.00,95782.00,12634.047
2025-11-16T04:00:00Z,95782.00,96170.60,95602.00,96064.80,8616.379
2025-11-16T08:00:00Z,96064.80,96600.00,95443.60,95588.00,16713.435
2025-11-16T12:00:00Z,95588.00,95870.00,94300.00,94531.30,18869.751
2025-11-16T16:00:00Z,94531.20,95544.80,93677.40,93994.50,44324.084
2025-11-16T20:00:00Z,93994.50,94700.00,92922.80,94221.70,34591.813
2025-11-17T00:00:00Z,94221.70,95539.30,93730.00,95472.10,24659.317
2025-11-17T04:00:00Z,95472.00,95838.00,94850.00,95587.90,15760.621
2025-11-17T08:00:00Z,95587.90,95980.10,95268.90,95530.10,14932.070
2025-11-17T12:00:00Z,95530.00,96012.20,93511.80,93915.70,58887.551
2025-11-17T16:00:00Z,93915.80,94388.00,91550.20,91656.20,60184.076
2025-11-17T20:00:00Z,91656.20,92370.90,91250.00,92169.70,30737.650
2025-11-18T00:00:00Z,92169.80,92335.40,89666.10,90811.90,54125.497
2025-11-18T04:00:00Z,90811.80,90842.10,89012.00,90459.10,44370.545
2025-11-18T08:00:00Z,90459.20,91567.00,90459.10,91473.60,28352.843
2025-11-18T12:00:00Z,91474.10,92991.70,90888.00,92851.40,58085.185
2025-11-18T16:00:00Z,92851.50,93799.10,92532.00,93143.10,33005.355
2025-11-18T20:00:00Z,93143.10,93400.00,92420.30,92916.90,14751.731
2025-11-19T00:00:00Z,92916.80,92944.80,91600.00,91842.20,24522.251
2025-11-19T04:00:00Z,91842.10,91987.20,89966.00,91826.60,46058.357
2025-11-19T08:00:00Z,91826.60,91920.00,91038.90,91372.40,19679.241
2025-11-19T12:00:00Z,91372.30,92348.20,89822.00,89901.00,42278.255
2025-11-19T16:00:00Z,89901.00,90202.50,88600.00,88857.70,54170.658
2025-11-19T20:00:00Z,88857.80,91554.90,88564.40,91508.90,39729.688
2025-11-20T00:00:00Z,91509.00,92760.00,91140.20,92404.60,26837.515
2025-11-20T04:00:00Z,92404.70,93150.00,91640.20,92267.40,27995.866
2025-11-20T08:00:00Z,92267.50,92363.10,91388.50,91892.60,17102.033
2025-11-20T12:00:00Z,91892.70,92498.60,89804.10,89835.40,50957.631
2025-11-20T16:00:00Z,89835.50,89885.70,86066.60,86880.30,114064.312
2025-11-20T20:00:00Z,86880.20,88214.10,86291.70,86601.30,39555.670
2025-11-21T00:00:00Z,86601.40,87465.40,85288.00,85782.50,45579.338
2025-11-21T04:00:00Z,85782.40,86313.20,81111.00,84006.70,78365.775
2025-11-21T08:00:00Z,84006.70,84667.10,81601.70,82279.10,84124.192
2025-11-21T12:00:00Z,82279.20,85449.20,80600.00,82905.10,129537.870
2025-11-21T16:00:00Z,82905.00,85548.40,82300.00,84167.20,80734.325
2025-11-21T20:00:00Z,84167.10,85374.50,83418.40,85093.50,31462.824
2025-11-22T00:00:00Z,85093.60,85599.90,84180.00,84414.10,19897.887
2025-11-22T04:00:00Z,84414.00,84764.30,83792.00,84537.40,15965.292
2025-11-22T08:00:00Z,84537.40,84546.40,83456.00,84066.20,20664.044
2025-11-22T12:00:00Z,84066.20,84712.70,83578.50,84239.90,18582.456
2025-11-22T16:00:00Z,84239.90,84888.00,84175.00,84566.70,9063.108
2025-11-22T20:00:00Z,84566.80,85238.30,84193.80,84689.40,10024.268
2025-11-23T00:00:00Z,84689.40,86300.00,84622.00,86261.00,24200.097
2025-11-23T04:00:00Z,86261.00,86826.80,85348.70,85732.00,24602.446
2025-11-23T08:00:00Z,85732.10,86438.50,85724.70,86290.30,16673.741
2025-11-23T12:00:00Z,86290.30,87222.00,86222.00,87042.80,26845.253
2025-11-23T16:00:00Z,87042.80,87653.90,86458.00,87276.70,24543.305
2025-11-23T20:00:00Z,87276.70,88100.00,86700.00,86807.70,22065.231
2025-11-24T00:00:00Z,86807.60,88049.50,85915.00,87408.80,36758.713
2025-11-24T04:00:00Z,87408.70,87795.90,86400.00,87004.60,26095.166
2025-11-24T08:00:00Z,87004.60,87004.60,85654.10,86232.50,25190.047
2025-11-24T12:00:00Z,86232.50,86700.00,85226.40,86571.00,47419.810
2025-11-24T16:00:00Z,86571.10,88788.00,86571.00,88277.00,51453.968
2025-11-24T20:00:00Z,88277.10,89177.30,88205.30,88247.10,24195.628
2025-11-25T00:00:00Z,88247.10,88247.10,87378.80,87775.10,19713.977
2025-11-25T04:00:00Z,87775.00,88477.60,87240.00,87362.20,17064.891
2025-11-25T08:00:00Z,87362.20,87585.70,86628.40,87311.90,23787.173
2025-11-25T12:00:00Z,87312.00,87732.70,86061.10,86946.50,39724.105
2025-11-25T16:00:00Z,86946.60,88115.00,86132.70,86835.00,30082.125
2025-11-25T20:00:00Z,86835.10,87869.40,86542.00,87324.10,19265.384
2025-11-26T00:00:00Z,87324.10,88200.00,87022.20,87088.50,17140.975
2025-11-26T04:00:00Z,87088.40,87947.00,86851.10,87896.20,14105.593
2025-11-26T08:00:00Z,87896.20,87909.20,86630.00,87049.20,17454.952
2025-11-26T12:00:00Z,87049.10,87646.80,86260.90,86926.20,36287.132
2025-11-26T16:00:00Z,86926.30,90362.70,86914.30,89923.30,54312.066
2025-11-26T20:00:00Z,89923.30,90655.40,89458.70,90438.10,19845.815
2025-11-27T00:00:00Z,90438.00,91850.00,90024.40,91049.30,32745.927
2025-11-27T04:00:00Z,91049.30,91520.00,90843.80,91361.50,14177.400
2025-11-27T08:00:00Z,91361.40,91931.90,91177.20,91334.90,18138.117
2025-11-27T12:00:00Z,91334.90,91418.40,90410.60,90912.90,24029.717
2025-11-27T16:00:00Z,90913.00,91800.00,90800.40,91489.00,17191.032
2025-11-27T20:00:00Z,91489.00,91562.80,91058.40,91292.20,7403.039
2025-11-28T00:00:00Z,91292.20,91386.60,90612.20,91168.00,13757.156
2025-11-28T04:00:00Z,91168.00,91690.00,90824.10,90870.20,13510.903
2025-11-28T08:00:00Z,90870.20,92000.00,90863.60,91382.90,21589.404
2025-11-28T12:00:00Z,91383.00,93080.00,91314.40,92299.90,48122.799
2025-11-28T16:00:00Z,92299.80,92323.60,90155.00,91106.10,41246.173
2025-11-28T20:00:00Z,91106.00,91209.00,90657.60,90847.80,8693.912
2025-11-29T00:00:00Z,90847.80,91078.40,90500.00,90638.00,7053.901
2025-11-29T04:00:00Z,90638.10,90884.80,90265.20,90523.50,9280.403
2025-11-29T08:00:00Z,90523.40,90691.50,90335.20,90633.70,6285.010
2025-11-29T12:00:00Z,90633.80,91068.10,90484.30,91030.00,8755.570
2025-11-29T16:00:00Z,91030.00,91130.00,90092.70,90602.90,14802.817
2025-11-29T20:00:00Z,90602.90,91020.00,90363.00,90765.00,8018.978
2025-11-30T00:00:00Z,90764.90,91016.00,90414.00,90873.00,6739.259
2025-11-30T04:00:00Z,90872.90,90999.40,90626.20,90924.50,4260.813
2025-11-30T08:00:00Z,90924.50,91580.00,90879.30,91000.90,14264.111
2025-11-30T12:00:00Z,91000.90,91934.40,90960.00,91405.80,16461.441
2025-11-30T16:00:00Z,91405.90,91818.80,91088.10,91423.20,8957.664
2025-11-30T20:00:00Z,91423.10,91592.30,90300.00,90320.60,15456.430
2025-12-01T00:00:00Z,90320.50,90396.90,86126.00,86319.20,80222.892
2025-12-01T04:00:00Z,86319.10,86524.60,85563.70,86487.60,31809.427
2025-12-01T08:00:00Z,86487.30,86886.00,86090.00,86100.10,19775.516
2025-12-01T12:00:00Z,86100.00,86625.00,83786.00,84650.00,83435.905
2025-12-01T16:00:00Z,84650.00,85528.70,84011.00,84985.00,46606.811
2025-12-01T20:00:00Z,84985.00,86817.00,84966.80,86241.60,34996.615
2025-12-02T00:00:00Z,86241.50,87384.00,86140.10,86936.00,23647.179
2025-12-02T04:00:00Z,86935.90,87245.90,86772.00,86965.00,11979.706
2025-12-02T08:00:00Z,86965.00,87640.00,86321.00,87326.90,24568.861
2025-12-02T12:00:00Z,87327.00,91211.30,87005.00,90809.20,78565.044
2025-12-02T16:00:00Z,90809.20,92273.20,90156.40,91849.90,54905.622
2025-12-02T20:00:00Z,91849.90,91970.40,90643.50,91249.10,34434.753
2025-12-03T00:00:00Z,91249.10,93068.90,90954.80,92589.20,30608.344
2025-12-03T04:00:00Z,92589.20,93932.70,92578.00,92969.90,37966.712
2025-12-03T08:00:00Z,92970.00,93338.40,92602.80,92957.70,21367.918
2025-12-03T12:00:00Z,92957.60,93653.60,91637.40,92332.90,58413.578
2025-12-03T16:00:00Z,92333.00,93471.10,91733.20,92995.80,30690.222
2025-12-03T20:00:00Z,92995.80,94185.00,92784.30,93376.70,22251.543
2025-12-04T00:00:00Z,93376.80,94040.00,92628.00,93499.90,24501.316
2025-12-04T04:00:00Z,93500.00,93549.20,92737.00,93358.60,16001.449
2025-12-04T08:00:00Z,93358.50,93600.00,92666.10,92894.90,16325.267
2025-12-04T12:00:00Z,92894.90,93256.30,91762.00,92933.50,38745.228
2025-12-04T16:00:00Z,92933.40,93143.40,90822.50,91941.50,38482.820
2025-12-04T20:00:00Z,91941.50,92676.80,91649.80,92034.70,12716.347
2025-12-05T00:00:00Z,92034.70,92665.50,91917.70,92104.90,10956.852
2025-12-05T04:00:00Z,92104.80,92455.40,91750.60,92227.50,12306.339
2025-12-05T08:00:00Z,92227.60,92227.60,90940.40,91307.90,21552.042
2025-12-05T12:00:00Z,91308.00,91445.20,89863.00,90414.00,55291.144
2025-12-05T16:00:00Z,90413.90,90460.00,87976.30,89590.50,66447.207
2025-12-05T20:00:00Z,89590.50,89706.00,88856.70,89288.50,12571.473
2025-12-06T00:00:00Z,89288.60,89758.00,88986.10,89636.50,10198.215
2025-12-06T04:00:00Z,89636.50,89732.40,89410.80,89549.60,6055.827
2025-12-06T08:00:00Z,89549.50,89679.00,89165.90,89585.40,8658.915
2025-12-06T12:00:00Z,89585.40,90257.30,89424.20,89713.40,14787.600
2025-12-06T16:00:00Z,89713.30,89940.30,89203.00,89369.40,8623.445
2025-12-06T20:00:00Z,89369.50,89578.30,88870.10,89197.10,8502.865
2025-12-07T00:00:00Z,89197.10,89704.50,89131.50,89675.60,5748.385
2025-12-07T04:00:00Z,89675.70,89750.00,89155.00,89337.10,6553.596
2025-12-07T08:00:00Z,89337.10,89494.40,89012.90,89109.40,7659.024
2025-12-07T12:00:00Z,89109.30,89700.00,87688.00,89505.00,41325.561
2025-12-07T16:00:00Z,89505.00,91722.00,89065.20,91379.70,36596.274
2025-12-07T20:00:00Z,91379.80,91473.20,88890.00,90345.40,31709.165
2025-12-08T00:00:00Z,90345.40,91650.00,89806.40,91039.40,20651.383
2025-12-08T04:00:00Z,91039.30,91868.00,90979.20,91519.80,12977.758
2025-12-08T08:00:00Z,91519.80,92262.60,91433.60,91923.50,16068.448
2025-12-08T12:00:00Z,91923.60,92106.40,89553.80,89912.60,57039.196
2025-12-08T16:00:00Z,89912.70,90471.60,89629.10,90073.60,29715.552
2025-12-08T20:00:00Z,90073.70,91338.20,90073.70,90610.80,16022.402
